          10

   1.99260712E-02 -0.406762123     -0.574477911       5.00000000    
   4.26477432       7.06512356       4.53944206       5.00000000    
   4.73852968      -3.65492320      -8.77107620       5.00000000    
   11.1282406       2.95622301       10.5402584       5.00000000    
   3.63351130       4.49026966      -14.4662266       5.00000000    
  -1.85802698      -16.7345734      -20.7993088       5.00000000    
   4.42678785      -11.1353092      -15.4002981       5.00000000    
  -8.32524872      -22.5159760      -15.8243284       5.00000000    
   12.3338661      -16.9854317      -13.5963249       5.00000000    
   9.99550819      -2.91434956      -16.5857201       5.00000000    
